step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
155,ramp,6.145210,6.166750,21.540,106.556,1.250,0.953,11.959,1,4,0.789551,19539
156,ramp,6.167214,6.172723,5.510,4.408,0.614,0.463,0.396,1,4,0.396484,10854
157,ramp,6.172993,6.194763,21.771,6.541,1.032,0.820,13.486,1,4,0.950684,16723
158,ramp,6.195158,6.197878,2.721,2.189,0.206,0.194,0.423,1,4,0.478027,5034
159,ramp,6.198140,6.204658,6.518,5.011,0.768,0.544,0.382,1,4,0.516113,12716
160,ramp,6.204937,6.207762,2.826,2.226,0.217,0.195,0.394,1,4,0.826660,5339
161,ramp,6.208003,6.235042,27.039,3.507,0.459,0.340,22.852,1,4,0.581055,8797
162,ramp,6.235521,6.243874,8.354,6.534,1.013,0.809,0.389,1,4,0.633301,16460
163,ramp,6.314871,6.321604,6.733,75.865,0.791,0.562,0.437,1,4,0.484131,13172
164,ramp,6.342855,6.352073,9.218,25.508,1.129,2.770,0.985,1,4,1.056641,11621
165,ramp,6.474219,6.499918,25.699,131.158,1.546,1.174,13.851,1,4,0.506836,24092
166,ramp,6.500359,6.503135,2.776,0.717,0.813,1.080,0.494,1,4,0.368652,1057
167,ramp,6.503415,6.507409,3.995,3.119,0.375,0.293,0.398,1,4,0.726074,7737
168,ramp,6.507697,6.509891,2.193,0.679,0.265,0.976,0.488,1,4,0.437744,1249
169,ramp,6.510115,6.515373,5.257,4.040,0.580,0.424,0.370,1,4,0.622559,10248
170,ramp,6.515614,6.540822,25.208,4.992,0.766,18.590,1.031,1,4,0.695801,12718
171,ramp,6.541060,6.548911,7.851,1.668,0.172,5.226,0.955,1,4,0.928223,3968
172,ramp,6.549178,6.562731,13.553,6.130,0.965,0.747,5.838,1,4,0.906250,15605
173,ramp,6.629647,6.636286,6.639,71.595,0.775,0.555,0.506,1,4,0.773926,12980
174,ramp,6.636559,6.652299,15.740,2.255,0.220,0.204,13.222,1,4,0.985840,5481
175,ramp,6.652669,6.655129,2.460,1.890,0.176,0.177,0.489,1,4,0.458252,4290
176,ramp,6.655445,6.657759,2.314,1.837,0.176,0.170,0.373,1,4,0.481689,4235
177,ramp,6.699987,6.705772,5.785,46.429,0.650,0.481,0.378,1,4,0.642578,11325
178,ramp,6.706010,6.717173,11.163,1.670,7.747,1.328,0.580,1,4,0.615234,3991
179,ramp,6.717437,6.721843,4.406,3.420,0.441,0.333,0.393,1,4,0.331055,8559
180,ramp,6.731002,6.733662,2.660,9.080,1.008,1.011,0.626,1,4,0.365723,8351
181,ramp,6.794002,6.801040,7.038,65.279,0.821,0.637,0.541,1,4,0.516602,13459
182,ramp,6.801323,6.804796,3.473,2.606,0.278,0.227,0.556,1,4,0.922363,6355
183,ramp,6.839798,6.847467,7.669,40.563,0.910,0.705,0.412,1,4,0.641113,14885
184,ramp,6.847738,6.864870,17.133,2.309,0.226,0.208,14.544,1,4,1.182617,5599
185,ramp,6.888588,6.896516,7.928,27.534,0.604,0.443,2.919,1,4,0.713379,10561
186,ramp,6.896935,6.902118,5.183,4.137,0.574,0.418,0.379,1,4,0.935059,10183
187,ramp,6.911308,6.918491,7.183,11.487,0.308,0.238,4.258,1,4,0.467041,6507
188,ramp,6.918837,6.921045,2.208,1.727,0.148,0.168,0.423,1,4,0.391846,3926
189,ramp,6.951587,6.956790,5.203,34.316,0.578,0.415,0.367,1,4,0.643066,10151
190,ramp,6.957042,6.959167,2.125,1.294,0.131,0.415,0.467,1,4,0.537109,2958
191,ramp,6.959398,6.961478,2.080,1.592,0.150,0.159,0.343,1,4,0.420410,3789
192,ramp,6.961760,6.972542,10.782,1.123,0.121,9.226,0.523,1,4,0.525391,2415
193,ramp,6.972790,6.975162,2.372,0.669,0.138,1.235,0.498,1,4,1.129883,1343
194,ramp,6.975432,6.978665,3.233,2.553,0.287,0.219,0.367,1,4,0.586914,6250
195,ramp,7.125686,7.134473,8.787,153.297,1.061,0.822,0.540,1,4,0.434082,17129
196,ramp,7.134818,7.163530,28.711,5.146,0.783,0.562,22.394,1,4,0.699707,13158
197,ramp,7.163934,7.171870,7.936,6.159,0.945,0.749,0.383,1,4,0.820312,15538
198,ramp,7.183128,7.185672,2.544,11.148,1.093,1.000,0.486,1,4,0.678711,2718
199,ramp,7.185918,7.189681,3.763,2.950,0.336,0.273,0.375,1,4,0.606934,7333
200,ramp,7.229629,7.236845,7.215,45.081,0.834,0.643,0.527,1,4,0.822266,13822
201,ramp,7.237208,7.240173,2.965,2.326,0.230,0.205,0.391,1,4,0.898438,5644
202,ramp,7.280293,7.289862,9.570,47.085,1.206,0.907,0.412,1,4,0.647461,18593
203,ramp,7.458572,7.469692,11.120,176.885,1.404,1.058,0.405,1,4,0.738770,21923
