step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
160,ramp,7.183066,7.197819,14.754,228.078,1.873,1.358,0.381,1,16,0.851562,24619
161,ramp,7.198057,7.227825,29.767,8.016,1.266,0.916,19.687,1,16,0.879883,17232
162,ramp,7.228254,7.230278,2.024,1.502,0.152,0.279,0.439,1,16,0.510742,2580
163,ramp,7.230532,7.233585,3.053,2.461,0.242,0.208,0.331,1,16,0.795410,5003
164,ramp,7.233833,7.248129,14.296,4.209,0.588,8.836,0.820,1,16,0.663086,8861
165,ramp,7.248529,7.258230,9.700,7.578,1.190,0.855,0.372,1,16,0.856934,16061
166,ramp,7.258461,7.260722,2.261,1.725,0.185,0.168,0.346,1,16,0.568359,3447
167,ramp,7.260955,7.265424,4.469,3.481,0.451,0.322,0.383,1,16,0.573242,7280
168,ramp,7.305628,7.326152,20.524,49.759,1.584,1.162,8.063,1,16,0.567383,21224
169,ramp,7.326632,7.333952,7.320,5.804,0.843,0.613,0.426,1,16,0.583008,12125
170,ramp,7.334238,7.337139,2.901,2.337,0.196,0.210,0.350,1,16,0.572266,4738
171,ramp,7.337395,7.341730,4.335,3.439,0.427,0.315,0.343,1,16,0.679688,7153
172,ramp,7.374526,7.392761,18.235,40.362,1.228,0.889,8.387,1,16,0.610840,16880
173,ramp,7.425754,7.439094,13.339,38.088,0.774,0.570,6.803,1,16,0.692871,11392
174,ramp,7.439570,7.449655,10.085,3.238,0.373,0.282,6.519,1,16,0.549316,6507
175,ramp,7.450070,7.453365,3.295,2.750,0.254,0.227,0.352,1,16,0.807129,5453
176,ramp,7.453639,7.456075,2.436,1.911,0.196,0.187,0.348,1,16,0.790039,3962
177,ramp,7.493795,7.503749,9.955,45.153,1.224,0.869,0.360,1,16,0.886719,16493
178,ramp,7.549399,7.561831,12.432,54.913,1.578,1.119,0.385,1,16,0.562988,20775
179,ramp,7.562075,7.564494,2.419,1.754,0.185,0.203,0.453,1,16,0.902832,3486
180,ramp,7.598712,7.618004,19.292,42.684,1.454,1.020,8.282,1,16,0.786621,18890
181,ramp,7.618438,7.626331,7.893,3.311,0.385,0.295,4.163,1,16,0.914551,6689
182,ramp,7.642986,7.646804,3.817,19.368,0.359,0.273,0.365,1,16,0.535645,6329
183,ramp,7.677579,7.683098,5.519,34.806,0.609,0.451,0.360,1,16,0.577148,9107
184,ramp,7.683340,7.685723,2.383,1.444,0.133,0.450,0.530,1,16,0.517578,2816
185,ramp,7.739588,7.747169,7.581,59.451,0.923,0.652,0.350,1,16,0.676758,12810
186,ramp,7.747406,7.768733,21.328,4.993,0.710,0.529,15.150,1,16,0.797363,10599
187,ramp,7.858266,7.871386,13.120,99.374,1.635,1.193,0.365,1,16,0.596680,21855
188,ramp,7.871646,7.874289,2.642,1.967,0.175,0.230,0.462,1,16,0.512695,3925
189,ramp,7.874561,7.903433,28.872,5.990,0.918,21.399,0.769,1,16,0.631348,12719
190,ramp,7.903706,7.910096,6.390,5.006,0.707,0.532,0.342,1,16,0.597168,10569
191,ramp,7.910342,7.930079,19.737,7.948,1.262,0.908,9.742,1,16,0.894043,17061
192,ramp,7.993787,8.008007,14.219,70.198,1.077,0.766,5.750,1,16,0.934570,14696
193,ramp,8.008300,8.010302,2.002,0.687,0.163,0.894,0.445,1,16,0.829590,1114
194,ramp,8.090602,8.102380,11.778,89.038,1.478,1.032,0.461,1,16,0.955566,19489
195,ramp,8.102687,8.107790,5.104,3.995,0.535,0.393,0.410,1,16,0.554199,8348
196,ramp,8.108063,8.146899,38.836,4.149,0.584,33.448,0.855,1,16,0.777832,8681
197,ramp,8.225544,8.238212,12.668,88.032,1.602,1.175,0.431,1,16,0.828613,21212
198,ramp,8.238465,8.257521,19.056,5.677,0.848,0.610,12.056,1,16,0.793457,12073
199,ramp,8.258000,8.269125,11.125,8.742,1.404,0.978,0.375,1,16,0.525391,18430
200,ramp,8.269369,8.302173,32.804,2.276,0.221,0.200,30.222,1,16,0.820312,4627
201,ramp,8.470428,8.485849,15.422,179.549,1.970,1.411,0.465,1,16,0.633789,25734
202,ramp,8.486155,8.501024,14.869,5.056,0.733,0.554,8.696,1,16,0.666992,10854
203,ramp,8.501386,8.523107,21.721,6.863,1.085,0.751,13.255,1,16,1.049805,14497
204,ramp,8.523454,8.528961,5.507,4.313,0.607,0.450,0.342,1,16,0.857910,9039
205,ramp,8.529223,8.548130,18.907,6.496,1.005,0.717,10.872,1,16,0.583984,13841
206,ramp,8.548556,8.554518,5.961,4.783,0.667,0.494,0.346,1,16,0.542480,9921
207,ramp,8.554757,8.556731,1.974,1.415,0.132,0.154,0.433,1,16,0.561523,2751
208,ramp,8.556959,8.563287,6.328,4.894,0.701,0.517,0.340,1,16,0.808105,10397
209,ramp,8.588379,8.591572,3.193,3.052,0.257,0.231,0.341,1,16,0.714844,5505
210,ramp,8.591850,8.593864,2.014,1.182,0.121,0.477,0.446,1,16,0.527832,2172
211,ramp,8.594130,8.611965,17.835,2.741,0.265,0.236,14.717,1,16,0.764648,5599
212,ramp,8.612397,8.614572,2.174,1.082,0.110,0.889,0.446,1,16,0.779297,1717
213,ramp,8.614806,8.619624,4.818,3.774,0.509,0.354,0.349,1,16,0.596191,7931
214,ramp,8.619887,8.628810,8.923,6.909,1.087,0.768,0.354,1,16,0.512695,14743
215,ramp,8.659810,8.669981,10.171,38.602,1.248,0.900,0.353,1,16,0.811523,16873
216,ramp,8.670208,8.702838,32.630,4.426,0.627,0.465,27.208,1,16,0.801270,9371
217,ramp,8.703252,8.723051,19.799,6.380,0.973,0.681,12.023,1,16,0.593750,13375
218,ramp,8.723563,8.728249,4.686,3.847,0.516,0.362,0.340,1,16,0.681152,8049
219,ramp,8.762800,8.770862,8.062,40.361,0.924,0.659,0.592,1,16,0.547363,12928
220,ramp,8.896947,8.929037,32.090,136.117,1.681,1.230,19.008,1,16,0.548828,22513
221,ramp,8.929475,8.932894,3.418,2.922,0.252,0.241,0.340,1,16,0.642090,5719
222,ramp,8.933145,8.960671,27.527,7.209,1.130,0.816,18.496,1,16,0.625000,15426
223,ramp,8.961127,8.973189,12.062,4.786,0.663,0.485,6.401,1,16,0.696777,9856
224,ramp,8.973586,8.986749,13.163,5.649,0.809,0.593,6.396,1,16,0.794922,11851
225,ramp,8.987312,8.994511,7.198,5.793,0.817,0.602,0.421,1,16,0.677734,11889
226,ramp,8.994885,8.997437,2.552,2.093,0.166,0.183,0.401,1,16,0.568359,3995
227,ramp,8.997753,9.021920,24.167,2.208,0.222,21.130,0.839,1,16,0.486084,4375
228,ramp,9.022234,9.033609,11.375,5.380,0.771,0.573,4.767,1,16,0.643555,11350
229,ramp,9.069546,9.076383,6.837,40.774,0.738,0.558,0.563,1,16,0.662109,10997
230,ramp,9.076727,9.094365,17.638,1.961,0.190,0.177,15.531,1,16,0.871094,3800
231,ramp,9.094819,9.097200,2.382,0.995,0.245,0.921,0.534,1,16,0.907715,1606
232,ramp,9.101291,9.106524,5.233,7.845,0.574,0.401,0.418,1,16,0.648438,8474
233,ramp,9.114119,9.116414,2.295,7.469,1.091,0.797,0.454,1,16,0.846191,1828
234,ramp,9.116674,9.124766,8.092,2.016,0.178,0.188,5.850,1,16,0.688477,4184
235,ramp,9.155789,9.162246,6.457,35.781,0.727,0.551,0.341,1,16,0.976074,10820
236,ramp,9.270838,9.280346,9.509,115.673,1.164,0.841,0.354,1,16,0.729980,15862
237,ramp,9.316489,9.327032,10.543,43.936,1.323,0.931,0.426,1,16,0.762695,17743
238,ramp,9.511992,9.545820,33.828,198.573,2.351,1.687,16.061,1,16,0.545410,30190
239,ramp,9.546197,9.549739,3.542,2.915,0.316,0.253,0.344,1,16,0.810547,6047
240,ramp,9.549980,9.552159,2.179,1.670,0.181,0.165,0.333,1,16,0.682617,3307
241,ramp,9.552405,9.557619,5.214,4.070,0.583,0.407,0.334,1,16,0.564941,8558
242,ramp,9.557885,9.566914,9.029,7.000,1.104,0.778,0.344,1,16,0.845215,14942
243,ramp,9.607436,9.621486,14.049,51.083,1.753,1.322,0.345,1,16,1.037109,23668
244,ramp,9.621714,9.658013,36.298,4.938,0.699,0.528,30.215,1,16,0.574219,10486
245,ramp,9.658386,9.662023,3.637,2.987,0.337,0.255,0.323,1,16,0.705078,6068
246,ramp,9.662258,9.665724,3.466,2.786,0.277,0.241,0.331,1,16,0.915527,5758
247,ramp,9.665973,9.671425,5.452,4.265,0.609,0.438,0.324,1,16,0.589355,8971
248,ramp,9.671664,9.695909,24.246,5.784,0.884,17.105,0.643,1,16,0.583008,12339
249,ramp,9.696145,9.708790,12.646,6.344,0.979,0.695,4.740,1,16,0.624023,13571
250,ramp,9.709206,9.732356,23.149,8.458,1.333,0.939,12.729,1,16,0.753906,17894
251,ramp,9.732951,9.740895,7.944,6.279,0.953,0.684,0.340,1,16,0.554688,13294
252,ramp,9.941321,9.954457,13.135,210.273,1.651,1.217,0.351,1,16,0.803223,21923
253,ramp,9.954709,9.983063,28.354,6.139,0.927,0.666,20.773,1,16,0.631348,13045
254,ramp,9.983458,10.003483,20.025,8.872,1.448,1.000,8.953,1,16,0.606445,18851
255,ramp,10.003996,10.011024,7.029,5.606,0.793,0.584,0.436,1,16,0.660645,11621
256,ramp,10.011322,10.026293,14.971,3.413,10.184,0.998,0.591,1,16,0.755859,7100
257,ramp,10.026607,10.029653,3.046,2.404,0.230,0.204,0.434,1,16,0.578613,4817
258,ramp,10.029982,10.059728,29.746,7.443,1.186,0.830,20.498,1,16,0.800781,15827
259,ramp,10.060333,10.065051,4.718,3.913,0.477,0.349,0.456,1,16,0.775879,7769
260,ramp,10.065349,10.069426,4.076,3.183,0.379,0.284,0.441,1,16,0.693848,6564
261,ramp,10.135211,10.145257,10.047,73.261,1.227,0.890,0.370,1,16,0.629883,16689
262,ramp,10.145518,10.150102,4.584,3.626,0.458,0.338,0.353,1,16,0.666504,7570
263,ramp,10.189879,10.202337,12.458,49.133,1.564,1.126,0.344,1,16,0.940918,20825
264,ramp,10.202610,10.243492,40.881,6.364,0.986,0.696,32.914,1,16,0.617188,13565
265,ramp,10.244028,10.251640,7.612,6.048,0.910,0.645,0.334,1,16,0.552246,12716
266,ramp,10.251894,10.256090,4.197,3.309,0.430,0.307,0.338,1,16,0.614258,7059
267,ramp,10.256347,10.286733,30.386,9.030,1.468,1.036,18.930,1,16,0.668457,19386
268,ramp,10.287249,10.296091,8.842,7.011,1.100,0.784,0.376,1,16,0.825195,14981
269,ramp,10.348092,10.361451,13.359,62.024,1.664,1.223,0.381,1,16,0.629883,22363
270,ramp,10.361689,10.379003,17.314,0.772,0.113,15.840,0.757,1,16,0.848633,1350
271,ramp,10.554748,10.581347,26.599,185.078,1.566,1.117,14.475,1,16,0.620117,20840
272,ramp,10.581744,10.596279,14.535,4.484,0.612,0.460,9.145,1,16,0.716797,9250
273,ramp,10.596854,10.604197,7.343,5.908,0.883,0.623,0.350,1,16,0.555664,12284
274,ramp,10.604451,10.638888,34.437,8.657,1.422,1.008,23.527,1,16,0.823730,18592
275,ramp,10.639335,10.642990,3.655,3.074,0.354,0.260,0.322,1,16,0.756836,6145
276,ramp,10.643213,10.645085,1.872,1.114,0.119,0.377,0.419,1,16,0.651367,2123
277,ramp,10.645316,10.650458,5.142,4.011,0.577,0.399,0.322,1,16,0.770508,8449
278,ramp,10.650688,10.675665,24.977,4.782,0.676,0.506,19.144,1,16,0.573242,10151
279,ramp,10.726429,10.737667,11.238,59.136,1.425,0.984,0.368,1,16,0.684082,18668
280,ramp,10.737959,10.776656,38.697,7.459,1.181,0.838,29.415,1,16,0.723145,15945
281,ramp,10.777164,10.789000,11.836,9.072,1.460,1.022,0.631,1,16,0.616699,19226
282,ramp,10.789385,10.803966,14.582,6.387,0.973,0.693,6.749,1,16,0.560059,13541
