step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step_per_rank,world_size,loss
197,ramp,98.560117,98.994927,434.810,180.909,90.507,160.961,2.403,256,4,0.642448
198,ramp,98.994987,99.435353,440.365,179.693,91.560,166.537,2.543,256,4,0.813947
199,ramp,99.435413,99.861257,425.844,169.536,90.528,163.298,2.451,256,4,0.814944
200,ramp,99.861310,100.296316,435.006,180.329,90.825,161.397,2.425,256,4,0.774980
201,ramp,100.296435,100.729793,433.359,168.040,90.604,172.219,2.462,256,4,0.719680
202,ramp,100.729848,101.163679,433.831,167.105,90.573,173.681,2.442,256,4,0.906387
203,ramp,101.163734,101.596138,432.403,169.838,90.621,169.599,2.314,256,4,0.451276
204,ramp,101.596192,102.025588,429.397,175.083,90.700,161.253,2.329,256,4,1.240555
205,ramp,102.025645,102.471097,445.452,176.279,90.696,176.011,2.436,256,4,0.631182
206,ramp,102.471151,102.903918,432.768,170.952,90.637,168.708,2.438,256,4,0.677594
207,ramp,102.903974,103.341670,437.696,173.703,90.652,170.891,2.418,256,4,0.746108
208,ramp,103.341725,103.774525,432.800,178.685,90.654,160.985,2.443,256,4,0.996983
209,ramp,103.774578,104.226571,451.992,169.928,90.747,188.965,2.321,256,4,0.677859
210,ramp,104.226624,104.664502,437.878,177.551,90.597,167.281,2.418,256,4,0.911510
211,ramp,104.664553,105.102608,438.055,176.595,90.593,168.394,2.443,256,4,0.699910
212,ramp,105.102663,105.543153,440.490,172.860,90.563,174.539,2.495,256,4,0.752903
213,ramp,105.543213,105.981646,438.433,184.242,90.636,161.094,2.427,256,4,0.962418
214,ramp,105.981698,106.417675,435.977,179.914,90.667,162.855,2.510,256,4,1.026645
215,ramp,106.417736,106.853842,436.106,177.032,90.657,165.961,2.425,256,4,0.723853
216,ramp,106.853894,107.290219,436.324,177.973,90.717,165.175,2.430,256,4,0.568231
217,ramp,107.290274,107.720751,430.477,175.474,90.762,161.750,2.461,256,4,0.815094
218,ramp,107.720808,108.152089,431.281,177.097,90.601,161.237,2.315,256,4,0.737094
219,ramp,108.152142,108.582074,429.931,168.980,90.669,167.935,2.315,256,4,0.700684
220,ramp,108.582126,109.017316,435.190,180.907,90.406,161.026,2.819,256,4,0.585400
221,ramp,109.017391,109.452744,435.353,169.678,90.615,172.586,2.440,256,4,0.684229
222,ramp,109.452797,109.897381,444.584,181.764,90.799,169.654,2.335,256,4,0.667541
223,ramp,109.897437,110.333062,435.626,174.321,90.696,167.815,2.762,256,4,0.707862
224,ramp,110.333128,110.764163,431.035,176.427,90.608,161.547,2.421,256,4,0.726007
225,ramp,110.764218,111.202846,438.629,184.043,90.585,161.541,2.428,256,4,0.650688
226,ramp,111.202899,111.634390,431.491,168.435,90.869,169.734,2.424,256,4,0.710669
227,ramp,111.634444,112.071109,436.665,182.337,90.627,161.242,2.429,256,4,0.670603
228,ramp,112.071163,112.509577,438.414,179.664,90.536,165.761,2.422,256,4,0.579181
229,ramp,112.509630,112.937365,427.735,167.334,90.899,166.843,2.627,256,4,0.730730
230,ramp,112.937430,113.379728,442.298,187.813,90.608,161.516,2.328,256,4,0.961323
231,ramp,113.379784,113.817526,437.742,183.881,90.457,160.899,2.474,256,4,0.991535
232,ramp,113.817582,114.251142,433.560,175.094,90.782,165.209,2.441,256,4,0.630476
233,ramp,114.251196,114.687672,436.476,181.929,90.696,161.366,2.452,256,4,0.643838
234,ramp,114.687728,115.126671,438.943,184.247,90.753,161.482,2.423,256,4,0.713048
235,ramp,115.126727,115.561816,435.089,180.627,90.698,161.422,2.310,256,4,0.705125
236,ramp,115.561868,115.995124,433.256,171.112,90.531,169.157,2.426,256,4,0.686883
237,ramp,115.995178,116.423711,428.533,170.311,90.515,165.250,2.425,256,4,0.547348
238,ramp,116.423765,116.850688,426.923,167.389,90.525,166.548,2.430,256,4,0.901467
239,ramp,116.850741,117.279794,429.053,174.561,90.704,161.336,2.421,256,4,0.635262
240,ramp,117.279850,117.708039,428.190,171.342,90.834,163.662,2.322,256,4,0.587882
241,ramp,117.708094,118.139038,430.944,177.071,90.704,160.709,2.431,256,4,0.528497
242,ramp,118.139091,118.576550,437.459,176.802,90.759,167.401,2.466,256,4,0.735533
243,ramp,118.576603,119.008566,431.963,163.716,90.523,175.263,2.432,256,4,1.151682
244,ramp,119.008619,119.443286,434.667,175.488,90.738,166.074,2.337,256,4,0.473406
245,ramp,119.443339,119.879085,435.746,177.828,90.839,164.587,2.461,256,4,0.869927
246,ramp,119.879140,120.314647,435.507,181.221,90.580,161.223,2.451,256,4,0.510393
247,ramp,120.314702,120.753251,438.549,182.473,90.802,162.790,2.451,256,4,0.720860
248,ramp,120.753304,121.189158,435.854,171.827,90.638,170.857,2.501,256,4,0.927095
249,ramp,121.189213,121.632159,442.946,172.074,90.576,177.842,2.423,256,4,0.634087
250,ramp,121.632212,122.072934,440.722,168.411,90.518,179.323,2.439,256,4,1.027770
251,ramp,122.073068,122.508805,435.737,173.657,90.533,169.044,2.469,256,4,0.844936
252,ramp,122.508860,122.948032,439.172,168.977,90.583,177.132,2.448,256,4,0.838254
253,ramp,122.948086,123.383871,435.786,180.334,90.565,162.382,2.473,256,4,0.576047
254,ramp,123.383928,123.815267,431.340,168.879,90.591,169.391,2.448,256,4,0.688625
255,ramp,123.815322,124.248403,433.081,171.940,90.744,167.912,2.453,256,4,0.977579
256,ramp,124.248456,124.704561,456.106,163.773,90.655,199.223,2.424,256,4,0.945628
257,ramp,124.704615,125.139329,434.714,175.864,90.658,165.837,2.325,256,4,0.608702
258,ramp,125.139383,125.576672,437.289,182.725,90.572,161.524,2.432,256,4,0.969866
259,ramp,125.576725,126.016632,439.907,185.577,90.641,161.213,2.444,256,4,0.826464
260,ramp,126.016712,126.453720,437.007,167.522,90.639,176.379,2.433,256,4,0.656616
261,ramp,126.453773,126.892389,438.616,183.720,90.718,161.727,2.420,256,4,0.827426
262,ramp,126.892441,127.337024,444.583,175.826,90.602,175.657,2.467,256,4,0.742314
263,ramp,127.337081,127.775203,438.122,177.286,90.529,167.851,2.423,256,4,0.732736
264,ramp,127.775259,128.225223,449.963,195.136,90.704,161.651,2.442,256,4,0.620278
265,ramp,128.225275,128.660979,435.704,166.402,90.600,176.343,2.330,256,4,0.552878
266,ramp,128.661031,129.096373,435.341,171.095,90.579,171.315,2.321,256,4,0.689767
267,ramp,129.096428,129.553071,456.643,201.293,90.591,161.878,2.849,256,4,0.424984
268,ramp,129.553142,129.993461,440.319,176.255,90.520,170.990,2.523,256,4,0.920342
269,ramp,129.993520,130.450947,457.427,192.787,90.787,171.381,2.442,256,4,1.188170
270,ramp,130.451012,130.890708,439.696,176.482,90.692,170.078,2.411,256,4,0.875728
271,ramp,130.890759,131.322729,431.970,177.241,90.533,161.705,2.461,256,4,0.557711
272,ramp,131.322786,131.760431,437.645,177.071,90.702,167.353,2.485,256,4,0.616432
273,ramp,131.760485,132.216732,456.246,185.356,90.979,177.421,2.458,256,4,0.653893
274,ramp,132.216788,132.651666,434.878,172.735,90.564,169.117,2.431,256,4,0.814135
275,ramp,132.651720,133.081903,430.183,172.217,90.619,164.770,2.546,256,4,0.844710
276,ramp,133.081962,133.517931,435.969,175.627,90.469,167.425,2.416,256,4,0.680125
277,ramp,133.517984,133.951832,433.848,173.534,90.712,167.121,2.448,256,4,0.545629
278,ramp,133.951888,134.383203,431.314,169.946,90.665,168.153,2.517,256,4,0.483961
279,ramp,134.383260,134.818392,435.132,178.521,90.807,163.268,2.505,256,4,1.064454
280,ramp,134.818444,135.255018,436.574,167.294,90.750,176.063,2.438,256,4,1.031353
281,ramp,135.255074,135.691545,436.471,175.805,90.660,167.662,2.315,256,4,0.576930
282,ramp,135.691599,136.126610,435.012,180.443,90.487,161.616,2.434,256,4,0.604285
283,ramp,136.126686,136.560189,433.503,170.933,90.702,169.403,2.433,256,4,0.615437
284,ramp,136.560244,136.995243,434.999,175.792,90.614,166.149,2.413,256,4,0.663835
285,ramp,136.995298,137.423975,428.677,167.027,90.466,168.723,2.430,256,4,0.692920
286,ramp,137.424027,137.859918,435.890,175.487,90.785,167.154,2.434,256,4,0.741377
287,ramp,137.859972,138.293440,433.468,164.880,90.723,175.435,2.399,256,4,0.667053
288,ramp,138.293492,138.736912,443.419,188.892,90.574,161.456,2.468,256,4,0.713259
289,ramp,138.736970,139.167102,430.132,172.509,90.610,164.570,2.412,256,4,0.715425
290,ramp,139.167157,139.601522,434.365,179.346,90.526,161.638,2.824,256,4,0.647279
291,ramp,139.601591,140.032147,430.556,175.862,90.613,161.636,2.413,256,4,0.696066
292,ramp,140.032199,140.461531,429.332,166.146,90.735,169.986,2.436,256,4,0.563272
293,ramp,140.461584,140.896114,434.530,179.549,90.539,161.604,2.809,256,4,0.701842
294,ramp,140.896182,141.329007,432.825,175.019,90.726,164.479,2.569,256,4,0.680025
295,ramp,141.329063,141.764230,435.167,180.263,90.610,161.856,2.407,256,4,0.802215
296,ramp,141.764284,142.197212,432.928,171.128,90.551,168.910,2.309,256,4,0.719499
297,ramp,142.197266,142.634343,437.077,180.680,90.499,163.425,2.440,256,4,0.664624
298,ramp,142.634395,143.063007,428.612,171.047,90.676,164.378,2.480,256,4,0.623266
299,ramp,143.063065,143.494637,431.573,170.482,90.655,167.974,2.430,256,4,0.654884
300,ramp,143.494691,143.927554,432.863,174.630,90.639,165.129,2.434,256,4,0.711459
301,ramp,143.927681,144.370724,443.042,177.353,90.705,172.535,2.416,256,4,0.710735
302,ramp,144.370776,144.805162,434.386,178.815,90.535,162.587,2.419,256,4,0.690605
