step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
70,steady,77.317766,78.451412,1133.646,1.761,1131.832,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
71,steady,78.463160,79.590052,1126.893,1.754,1125.089,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
72,steady,79.601361,80.725018,1123.657,1.749,1121.859,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
73,steady,80.736352,81.859365,1123.013,1.756,1121.202,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
74,steady,81.870687,82.978560,1107.873,1.759,1106.061,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
75,steady,82.990317,84.097517,1107.199,1.750,1105.394,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
76,steady,84.108472,85.213868,1105.396,1.754,1103.585,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
77,steady,85.225566,86.331187,1105.622,1.758,1103.807,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
78,steady,86.342915,87.448640,1105.725,1.751,1103.918,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
79,steady,87.460095,88.561078,1100.982,1.746,1099.184,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
80,steady,88.573062,89.670890,1097.828,1.761,1096.015,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
81,steady,89.682275,90.783052,1100.776,1.756,1098.971,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
82,steady,90.941990,92.040099,1098.109,1.790,1096.245,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
83,steady,92.051902,93.152012,1100.110,1.750,1098.309,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
84,steady,93.163682,94.264819,1101.137,1.759,1099.328,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
85,steady,94.276972,95.377726,1100.754,1.754,1098.947,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
86,steady,95.389305,96.489896,1100.591,1.752,1098.784,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
